id,source_label,floor_number,mid,text,original_pic,disable_reply,user_location,follow_count,followers_count,created_at,created_at_ts
2130201,抑郁症超话,0,4.78562E+15,抑郁症: 臭宝跟他姥姥走了，再过10天才能回来，我不是个合格的爸爸，把太多的时间和精力都浪费在这些不值得的人和事上，在他身上付出的太少了，臭宝，对不起 ,,0,,34,8,Wed Jun 29 08:48:27 +0800 2022,1656463707
2130202,抑郁症超话,0,4.78562E+15,抑郁症: 我还是希望时间能终止在生命最好的年华里 ,,0,,67,2,Wed Jun 29 08:43:00 +0800 2022,1656463380
2130203,抑郁症超话,0,4.78562E+15,抑郁症: 可惜到最后的只是灵儿一厢情愿对那段时光的不断回溯，也只有灵儿留在了原地，他们早已不是初中同学和好朋友，相隔也不止是两所不同的高中的距离，再也无法顶峰相见，我知道你不会为我驻留，可我依然很难过，你慢慢疏远，连谎言都没有了，剩下冷暴力，你很厌烦我吧，一直纠缠你，对不起。 ,https://wx2.sinaimg.cn/large/007czuJZgy1h3ot39jpwlj30u01rcjtp.jpg,0,,361,18,Wed Jun 29 08:37:02 +0800 2022,1656463022
2130204,抑郁症超话,0,4.78561E+15,抑郁症: 距离事情发生两个月了，也难受了两个月，感觉自己得了抑郁症，网上做题也都是中度，我自己也想救救我自己，于是暑假预约了家那里的医院。可是回家之后，妈妈觉得没有必要，让我自己想开点，我不知道该说什么，因为我也觉得我有时候正常有时候不正常，而且看病好贵啊，不忍心让他们花钱 ...全文,,0,,164,1,Wed Jun 29 08:36:22 +0800 2022,1656462982
2130205,抑郁症超话,0,4.78561E+15,抑郁症:  又被赶出来了 又无家可归了 ,,0,,18,3,Wed Jun 29 08:30:11 +0800 2022,1656462611
2130206,抑郁症超话,0,4.78561E+15,抑郁症: 抑郁症 家人们，盐酸曲唑酮有什么副作用？医生给我开的晚上盐酸曲唑酮两片，盐酸帕罗西汀早上一片，今天早上起来乏力恶心，不确定是因为吃了盐酸曲咗酮还是因为昨天晚上肚子着凉的了，还有就是想问问我这个药量算大还是小？吃药我没啥感觉，就怕戒断的时候难 ,,0,,323,14,Wed Jun 29 08:18:54 +0800 2022,1656461934
2130207,抑郁症超话,0,4.78561E+15,抑郁症: 昨天晚上梦到被爸妈推下楼，还挺开心的，终于si了 ,,0,,115,13,Wed Jun 29 08:16:43 +0800 2022,1656461803
2130208,抑郁症超话,0,4.78561E+15,抑郁症:  或许有人玩吃鸡吗… ,,0,,20,9,Wed Jun 29 08:12:15 +0800 2022,1656461535
2130209,双相情感障碍超话,0,4.78562E+15,双相情感障碍: 每个人都有自己的逻辑世界，唯物的世界其实是唯心的，当外物进入你的世界的时候，就被你的逻辑转化了，比如半杯水，悲观的只剩，乐观的还剩。就像迷茫代表未知，就是你经历的?虑榻肽愕氖澜纾阅愫苤匾陨淼娜现治薹ㄚ故停慊岣械矫悦！?是否真的可以有唯物，倘若 ...全文,,0,,23,4,Wed Jun 29 08:38:54 +0800 2022,1656463134
2130210,抑郁超话,0,4.78562E+15,抑郁: 我的情绪自控力太差了吧，活成我这副德行也是不容易 ,,0,,50,6,Wed Jun 29 09:07:46 +0800 2022,1656464866
2130211,焦虑症超话,0,4.78563E+15,焦虑症: 有没有感觉有便意时而疼一下，然后有时候嗳气放屁的同学 ,,0,,67,4,Wed Jun 29 09:29:41 +0800 2022,1656466181
2130212,抑郁症超话,0,4.78563E+15,抑郁症:  不知道大家抑郁症追星是什么感受 我喜欢易烊千玺八年多了 算是看着他一路走过来的 但是每当有不好的声音出现我还是会觉得很难受 好像优秀的人指定也要受到更多的偏见 他明明是一个人很踏实努力善良的人 不知道为什么会被人恶意相待 ,,0,,198,95,Wed Jun 29 09:20:54 +0800 2022,1656465654
2130213,抑郁症超话,0,4.78562E+15,抑郁症: 本来就已经是重度抑郁重度焦虑，现在感觉还更严重了，特别是焦虑 ,,0,,380,173,Wed Jun 29 09:06:48 +0800 2022,1656464808
2130214,抑郁症超话,0,4.78562E+15,抑郁症:  这两天我的躯体化症状很难受，从头疼到胃痛再到全身上下都麻木无力，可是我却在怀疑?缴岵换嵛笳锪耍课易罱孟裱劾岜蝗送底吡艘谎劾嵋坏阋擦鞑怀隼矗液芾Щ蟆！！！！！?,,0,,208,76,Wed Jun 29 09:06:12 +0800 2022,1656464772
2130215,抑郁症超话,0,4.78562E+15,抑郁症: 我真的好累好累好累好累 ,,0,,60,44,Wed Jun 29 09:04:40 +0800 2022,1656464680
2130216,抑郁症超话,0,4.78562E+15,抑郁症: 外面下雨了，我做完核酸从外面人行道是走，侧眼余光看到旁边人行道一位女老人摔倒了，雨伞也掉了，我余光目睹了她摔的过程，雨下大了，我没去扶她，后来我走远了看见她自己起来了。突然觉得人真是可怜的动物，真悲凉。我真的是坏透了。我回到座位上哭了，可是有什么用呢。我真的是从骨子 ...全文,,0,,9,1,Wed Jun 29 09:02:24 +0800 2022,1656464544
2130217,抑郁症超话,0,4.78562E+15,抑郁症: 大家不开心的时候干点啥 ,,0,,89,0,Wed Jun 29 08:58:47 +0800 2022,1656464327
2130218,抑郁症超话,0,4.78562E+15,抑郁症:  每个人都有控制欲，尽量克制就好 ,,0,,4518,632,Wed Jun 29 08:58:29 +0800 2022,1656464309
2130219,抑郁症超话,0,4.78562E+15,抑郁症: 半睡半醒太痛苦，好累 真的好累… ,,0,,102,11,Wed Jun 29 08:55:59 +0800 2022,1656464159
2130220,抑郁症超话,0,4.78563E+15,抑郁症:  请问考试考不好的我配吃饭吗？我配开心吗？我配过生日吗？ ,,0,,17,32,Wed Jun 29 09:35:56 +0800 2022,1656466556
2130221,抑郁症超话,0,4.78563E+15,抑郁症:  吃喹硫平长胖了30多斤，医生说不让换药，说我的情绪还不稳定，说有些事情是不能两全其美的啊啊啊啊啊 ,,0,,23,87,Wed Jun 29 09:35:39 +0800 2022,1656466539
2130222,抑郁症超话,0,4.78563E+15,抑郁症: 你心里会有声音和你对话吗？那个声音就是我自己。但我自己像另一个人和我说话。但我清楚知道那是我自己，那是我另一个想法，只是另一个我在说。 ,,0,,207,88,Wed Jun 29 09:35:26 +0800 2022,1656466526
2130223,抑郁症超话,0,4.78563E+15,抑郁症:  唉一晚上思考，没什么好结果，也许就是因为我的能力的确比不上别人吧越长大，成长的成本越高，我的能力和心境状态与周围的人有差，我在说什么我都不知道，表达能力也下降??，fine ,https://wx4.sinaimg.cn/large/006UGMg0ly1h3ouzr9ox9j30n018gaep.jpg,0,,17,32,Wed Jun 29 09:34:57 +0800 2022,1656466497
2130224,抑郁超话,0,4.78561E+15,抑郁:  我不想再浑浑噩噩的过下去了，我得改变自己了。 ,,0,,728,29,Wed Jun 29 08:26:32 +0800 2022,1656462392
2130225,抑郁超话,0,4.78557E+15,抑郁:  好难受 ,,0,,280,6,Wed Jun 29 05:23:51 +0800 2022,1656451431
2130226,抑郁超话,0,4.78551E+15,抑郁: 要是他们还有一个寄托就好了，这样我出了什么事她们至少还有一个寄托对吧 ,,0,,122,5,Wed Jun 29 01:32:30 +0800 2022,1656437550
2130227,焦虑症超话,0,4.78564E+15,焦虑症:  每一天醒来就是不停的焦灼，每天换一个疾病恐慌，恐惧去医院，即使去医院检查了还是不相信，觉得自己有病。 ,,0,,203,51,Wed Jun 29 10:04:06 +0800 2022,1656468246
2130228,焦虑症超话,0,4.78564E+15,焦虑症: 当喝下第一口低因咖啡没多久开始头晕之后，我突然就想起去年为什么要戒咖啡了…就是为了防止惊恐发作啊！！！！！结果好家伙今天买的时候给忘了（差不多一年没喝了） ,,0,,1886,135,Wed Jun 29 10:01:41 +0800 2022,1656468101
2130229,抑郁症超话,0,4.78564E+15,抑郁症: 有点无助，状态又不好了 ,,0,,893,28,Wed Jun 29 10:02:30 +0800 2022,1656468150
2130230,抑郁症超话,0,4.78564E+15,抑郁症: 我特别想把刚才路边那两个男的打一顿，要不是我外婆后面给我说，在学我走路我真的服了 ,,0,,886,1169,Wed Jun 29 10:01:02 +0800 2022,1656468062
2130231,抑郁症超话,0,4.78564E+15,抑郁症:  中考结束了啊啊啊好开心啊 ,,0,,19,2180,Wed Jun 29 09:59:20 +0800 2022,1656467960
2130232,抑郁症超话,0,4.78563E+15,抑郁症: 来医院拿药，烦死了等的我，想zc。 ,,0,,53,2,Wed Jun 29 09:54:32 +0800 2022,1656467672
2130233,抑郁症超话,0,4.78563E+15,抑郁症: 心情不好，食不下咽，没有胃口，极速掉体重 ,,0,,2276,452,Wed Jun 29 09:53:47 +0800 2022,1656467627
2130234,抑郁症超话,0,4.78563E+15,后天就可以去找心里咨询师 这两天头痛欲裂 每天最多入睡三个小时 真的特别痛苦 满脑子又控制不住的想事情 昨天拿笔写字竟然那么困难 手抖特别厉害 把我自己也吓到了 还好身边没人不然别人怎么看我 ,,0,,370,318,Wed Jun 29 09:51:39 +0800 2022,1656467499
2130235,抑郁症超话,0,4.78563E+15,抑郁症: 睡到现在才醒，昨天我的母上大人来我家了，做了好吃的饭，连带着我的猫猫都被美食收买了，我妈走到哪里它就跟到哪里。睡醒就有饭吃的感觉真香啊，连带着画画都有劲了。 ,https://wx2.sinaimg.cn/large/005ZY4ZLly1h3ovcvgnpzj30u00gvmz3.jpg,0,,740,139,Wed Jun 29 09:51:31 +0800 2022,1656467491
2130236,抑郁症超话,0,4.78563E+15,抑郁症: 很抱歉，以这样的方式，自以?嵌阅愫茫Ｍ呛玫?,,0,,236,332,Wed Jun 29 09:50:48 +0800 2022,1656467448
2130237,抑郁症超话,0,4.78563E+15,抑郁症: 真的快要熬不下去了 真的太难了 ,,0,,186,35,Wed Jun 29 09:50:41 +0800 2022,1656467441
2130238,抑郁症超话,0,4.78563E+15,抑郁症:  抑郁症根本不能谈恋爱不是吗 ,,0,,45,7,Wed Jun 29 09:47:36 +0800 2022,1656467256
2130239,抑郁症超话,0,4.78563E+15,抑郁症:  不想上学 ,,0,,8,3,Wed Jun 29 09:45:42 +0800 2022,1656467142
2130240,抑郁症患者超话,0,4.78564E+15,抑郁症患者: 毁灭吧，赶紧的。 ,,0,,178,401,Wed Jun 29 10:17:14 +0800 2022,1656469034
2130241,抑郁症超话超话,0,4.78563E+15,抑郁症超话: 真正体会到死亡的感觉，那一刻我很平静。平静的回忆从前。可惜只是抑郁焦虑发作。 ,https://wx1.sinaimg.cn/large/dab360efly1h3ovbqwpb0j20u01uowlf.jpg,0,,96,42,Wed Jun 29 09:44:37 +0800 2022,1656467077
2130242,抑郁超话,0,4.78564E+15,抑郁:  我是一名大四的毕业生，现在巨巨巨…焦虑。是这样的，今年考研上岸了，可是我很担心本科学校会不让我毕业，我的毕业论文都合格了，答辩也过了，可是有一个表格我把老师的名字写错了，给老师说也让我改了，可是发给老师，老师就是不接收，已经三天了，每天都在提醒老师，也没有说一个具体 ...全文,,0,,15,1,Wed Jun 29 10:35:17 +0800 2022,1656470117
2130243,焦虑症超话,0,4.78565E+15,焦虑症:  明明前天做了心电图 心脏没有问题 而且在医院的时候一点也没有不舒服的感觉 回来以后 就胸骨开始一阵一阵的痛 说不上来的痛 就一点点。有点像刺痛也有点像压痛 就是保持一个姿势久了 在换另个姿势的那一瞬间会疼 有时候深呼吸也会疼一下 真的好折磨 ,,0,,30,18,Wed Jun 29 10:44:14 +0800 2022,1656470654
2130244,焦虑症超话,0,4.78565E+15,焦虑症:  我是一名大四的毕业生，现在巨巨巨…焦虑。是这样的，今年考研上岸了，可是我很担心本科学校会不让我毕业，我的毕业论文都合格了，答辩也过了，可是有一个表格我把老师的名字写错了，给老师说也让我改了，可是发给老师，老师就是不接收，已经三天了，每天都在提醒老师，也没有说一个具 ...全文,,0,,15,1,Wed Jun 29 10:39:01 +0800 2022,1656470341
2130245,双相情感障碍超话,0,4.78565E+15,双相情感障碍: 上班无聊中  来聊天 ,https://wx4.sinaimg.cn/large/007cCKrjly1h3oxasl8dzj30u00u0q62.jpg,0,,64,25,Wed Jun 29 10:51:29 +0800 2022,1656471089
2130246,焦虑症超话,0,4.78566E+15,焦虑症: 入睡困难恶心乏力呕吐心悸心慌又来了，我做错什么这样折磨我 ,,0,,206,114,Wed Jun 29 11:22:08 +0800 2022,1656472928
2130247,焦虑症超话,0,4.78566E+15,焦虑症: 有小伙伴们吃中药汤剂早晨拉,,0,,417,144,Wed Jun 29 11:19:44 +0800 2022,1656472784
2130248,抑郁症超话,0,4.78566E+15,不是人会痛得满屋子跑的那种就是感觉戳的那一小点是辣辣的脑袋里蒙蒙的感觉没有了我很想看看他流血溢出来的那种我妈跟我说要是我有弟弟妹妹的话就不管我 ,,0,,24,3,Wed Jun 29 11:17:48 +0800 2022,1656472668
2130249,抑郁症超话,0,4.78566E+15,抑郁症: 有点无助，有点失落，想有诉说，想做双方树洞！ ,,0,,19,1,Wed Jun 29 11:16:44 +0800 2022,1656472604
2130250,抑郁症超话,0,4.78565E+15,抑郁症:  在学校呆五天我都受不住 破学校还要一连呆十天不放我回家外加期末考 我真受不住 躯体化会杀了我的 ,,0,,8,3,Wed Jun 29 11:15:09 +0800 2022,1656472509
2130251,抑郁症超话,0,4.78565E+15,过一天，算一天，混一天，拿一天工资吧。希望自己能快乐的度过每一天，没有一天不在生闷气的难过中度过，希望一天中快乐的日子可以延长一点，对自己身体也好一点，不知道今年体检结果会咋样。 ,,0,,2917,4775,Wed Jun 29 11:14:55 +0800 2022,1656472495
2130252,抑郁症超话,0,4.78565E+15,抑郁症: 昨晚吃了药不到十一点一觉睡到快六点好爽 ,,0,,36,5,Wed Jun 29 11:13:41 +0800 2022,1656472421
2130253,抑郁症超话,0,4.78565E+15,抑郁症: 朋友没考好，过不了自己这一关，好迷茫不知道怎么安慰她 ,,0,,31,3,Wed Jun 29 11:13:39 +0800 2022,1656472419
2130254,抑郁症超话,0,4.78565E+15,抑郁症:  住院时每天都是恰着时间日历熬过来 西宁·青海省第三人民医院 ,https://wx4.sinaimg.cn/large/006SR4oKly1h3ovlmut2ij32c02c0kjm.jpg,0,,32,26,Wed Jun 29 11:00:38 +0800 2022,1656471638
2130255,抑郁症超话,0,4.78565E+15,抑郁症: 真的没意思。没有任何提起我兴趣的人。或者事物 ,,0,,207,88,Wed Jun 29 11:00:08 +0800 2022,1656471608
2130256,抑郁症超话,0,4.78565E+15,抑郁症:  我是一名大四的毕业生，现在巨巨巨…焦虑。是这样的，今年考研上岸了，可是我很担心本科学校会不让我毕业，我的毕业论文都合格了，答辩也过了，可是有一个表格我把老师的名字写错了，给老师说也让我改了，可是发给老师，老师就是不接收，已经三天了，每天都在提醒老师，也没有说一个??...全文,,0,,15,1,Wed Jun 29 10:59:22 +0800 2022,1656471562
2130257,抑郁症超话,0,4.78565E+15,抑郁症: 去见了想见的人，她说要好好的。 ,,0,,893,28,Wed Jun 29 10:53:01 +0800 2022,1656471181
2130258,抑郁症超话,0,4.78565E+15,抑郁症:  听说尼安德特人有抑郁、情绪问题的基因，祖先和他们杂交过的会有基因，世界上有50%的智人有2%～5%的这种基因，我想去查查我有多少基因，会不会是我返祖了。 ,,0,,189,46,Wed Jun 29 10:52:57 +0800 2022,1656471177
2130259,抑郁症超话,0,4.78565E+15,抑郁症: 抑郁症会情绪化饮食嘛，我几乎心情不好就会这样 ,,0,,105,57,Wed Jun 29 10:48:15 +0800 2022,1656470895
2130260,抑郁症超话,0,4.78565E+15,抑郁症: 在学校很难受 想请假回家 但是已经请了好几天了 再请假好像不太好 要不要和老师说请假啊 ,,0,,85,15,Wed Jun 29 10:45:55 +0800 2022,1656470755
2130261,抑郁症超话,0,4.78565E+15,抑郁症: 一些没发出去过的照片…… ,https://wx1.sinaimg.cn/large/005IGG2Yly1h3ox125xytj31be0zkjtx.jpg,0,,265,29,Wed Jun 29 10:45:04 +0800 2022,1656470704
2130262,抑郁症超话,0,4.78565E+15,抑郁症:  又开始心率过快了，其实我并没有好，遇到一点小事还?乔樾骰媚咽裁词焙蚰芟窀稣Ｈ松?,https://wx1.sinaimg.cn/large/005KynWgly1h3owzx2y2gj32772771kx.jpg,0,,444,121,Wed Jun 29 10:44:32 +0800 2022,1656470672
2130263,抑郁症超话,0,4.78565E+15,抑郁症:  好难受 又开始觉得一切都没有意义了 ,,0,,13,1,Wed Jun 29 10:43:13 +0800 2022,1656470593
2130264,抑郁症超话超话,0,4.78565E+15,抑郁症超话: 所以那些潇洒说再见的人解脱了吗？ ,,0,,454,94,Wed Jun 29 10:36:48 +0800 2022,1656470208
2130265,双相情感障碍超话,0,4.78565E+15,双相情感障碍:  你们讨厌搬家吗 ,,0,,152,40,Wed Jun 29 11:12:29 +0800 2022,1656472349
2130266,鹿道森超话,0,4.78566E+15,鹿道森 当你感到难过的时候，拼命忍住眼泪，抬头看看璀璨的星空，诉说着心事。那里有你爱的人，还有永远无法伸手触及的梦想。只有那一片星星会不厌其烦温柔的拥抱你，当你深不见底的树洞。@鹿道森 ,https://wx2.sinaimg.cn/large/006VDutWgy1h3oxvqv9s5g30f00f0x6p.gif,0,,20,9,Wed Jun 29 11:22:19 +0800 2022,1656472939
2130267,抑郁症超话,0,4.78566E+15,抑郁症: 有时候觉得自己好像没病，在装病。 ,,0,,75,10,Wed Jun 29 11:47:43 +0800 2022,1656474463
2130268,抑郁症超??0,4.78566E+15,抑郁症: 原来我家里人知道我划手的事我还以为我瞒住了，家里人居然没骂我 ,,0,,572,84,Wed Jun 29 11:46:14 +0800 2022,1656474374
2130269,抑郁症超话,0,4.78566E+15,抑郁症: 和有些喜欢的人聊天 最近我不找他他也不主动给我发消息 他说热情灭了 ,,0,,18,16,Wed Jun 29 11:44:26 +0800 2022,1656474266
2130270,抑郁症超话,0,4.78566E+15,抑郁症: 嗯 ,https://wx1.sinaimg.cn/large/0088pBaxly1h3oyt6mtv7j30xc1hcwih.jpg,0,,126,5,Wed Jun 29 11:43:47 +0800 2022,1656474227
2130271,抑郁症超话,0,4.78566E+15,抑郁症: 有珠海的医生推荐吗 ,,0,,202,17,Wed Jun 29 11:42:33 +0800 2022,1656474153
2130272,抑郁症超话,0,4.78566E+15,抑郁症: 我活着有什么好处呢？无论是带给自己的，还是带给父母的都行，可是我一个也想不到 ,,0,,87,1,Wed Jun 29 11:39:43 +0800 2022,1656473983
2130273,抑郁症超话,0,4.78566E+15,抑郁症: 我会不会就是个错误呢，一个生来只会带给父母悲伤的错误 ,,0,,87,1,Wed Jun 29 11:37:29 +0800 2022,1656473849
2130274,抑郁症超话,0,4.78566E+15,抑郁症:  我记得我上次去医院复诊开药，我对医生说，姐姐我最近觉得我有开心的时候了，虽然不是一直开心，我发现我有一天忘了吃药但是我没有发作了，我好像可以正常生活了，我是不是可以不吃药了，我断药好久了，除了还是不吃安眠药睡不着，医生姐姐很严肃的看着我，对我说：你要清楚，不可以私 ...全文,,0,,370,1,Wed Jun 29 11:37:12 +0800 2022,1656473832
2130275,抑郁症超话,0,4.78566E+15,抑郁症:  曾经一头人人羡慕的秀发，现在要掉没了，头发是我的命，我不知道怎么办，绝望 ,,0,,764,53,Wed Jun 29 11:35:59 +0800 2022,1656473759
2130276,抑郁症超话,0,4.78566E+15,抑郁症:  今天 ,https://wx2.sinaimg.cn/large/006cpQw7gy1h3oyk77bwrj30u01sy16v.jpg,0,,23,87,Wed Jun 29 11:34:59 +0800 2022,1656473699
2130277,抑郁症超话,0,4.78566E+15,抑郁症: 希望有一天我也能放心大胆地和人说我并不开心，并不好，而不是因为怕别人担心和谁都说今天还好 ,,0,,87,1,Wed Jun 29 11:34:45 +0800 2022,1656473685
2130278,抑郁症超话,0,4.78566E+15,抑郁症:  今天也觉得好难 要撑不下去了 好想s ,,0,,23,87,Wed Jun 29 11:28:49 +0800 2022,1656473329
2130279,抑郁症超话,0,4.78566E+15,抑郁症:  贴了两个创可贴，今天好热，带手表蛰的好疼，看完医生了，加药，而且肝功能明显受损，要吃护肝药了，哎??,https://wx2.sinaimg.cn/large/008r3gf6ly1h3oya2zu7cj32c03407wh.jpg,0,,2,2,Wed Jun 29 11:26:07 +0800 2022,1656473167
2130280,抑郁症超话,0,4.78566E+15,抑郁症: 好不容易才约到的医生，又停诊了 ,https://wx3.sinaimg.cn/large/005DuRjqgy1h3oy8j1zcdj30u00qgwiy.jpg,0,,380,173,Wed Jun 29 11:24:33 +0800 2022,1656473073
2130281,抑郁症超话,0,4.78566E+15,抑郁症:  上学一点都没劲 也什么都听不懂 ,,0,,178,36,Wed Jun 29 11:23:04 +0800 2022,1656472984
2130282,抑郁症超话,0,4.78565E+15,抑郁症:  好失败啊 爱情 友情 家庭 工作 一切都好失败 明明自己的生活一塌糊涂 还去开导别人 活下去的意义究竟是什么呢  明明之前还能劝自己 现在 竟然找不到可以劝自己好好生活的理由了 ,,0,,32,5,Wed Jun 29 10:41:43 +0800 2022,1656470503
2130283,抑郁症超话,0,4.78565E+15,“和我分开你是不是不会难受？”“不知道，但是肯定很复杂。”“你还喜欢我吗？”“喜欢的”“多喜欢呢”“百分之八十吧”“还递减呢？”“哈哈有点儿”我怎么就不愿离开他呢好想一刀捅死算了自己抑郁症:  ,,0,,27,16,Wed Jun 29 10:37:05 +0800 2022,1656470225
2130284,抑郁症超话,0,4.78565E+15,抑郁症: 重庆主城哪里的医院最好，或者最有效果，有没有重庆得小伙伴 ,,0,,583,5,Wed Jun 29 10:36:22 +0800 2022,1656470182
2130285,抑郁症超话,0,4.78564E+15,抑郁症: 问问大家也会经常不耐烦吗 就其它人和自己说话就很不想理 ,,0,,198,121,Wed Jun 29 10:35:20 +0800 2022,1656470120
2130286,抑郁症超话,0,4.78564E+15,抑郁症: 今天挨批了，又没劲工作又想摸鱼了…… ,,0,,265,29,Wed Jun 29 10:34:30 +0800 2022,1656470070
2130287,抑郁症超话,0,4.78564E+15,抑郁症: 不知道说些什么  只知道心里一阵酸楚 ,,0,,38,2,Wed Jun 29 10:33:55 +0800 2022,1656470035
2130288,抑郁症超话,0,4.78564E+15,抑郁症: 未成年人（高考结束）可以不在父母陪同下到外地就医吗？到外地就医需要准备些什么吗？ ,,0,,63,21,Wed Jun 29 10:29:13 +0800 2022,1656469753
2130289,抑郁症超话,0,4.78564E+15,抑郁症: uu们 大四下重修又没过。。。毕业证也拿不到了。。我都不知道怎么回去。。心态彻底没了 ,,0,,71,38,Wed Jun 29 10:28:20 +0800 2022,1656469700
2130290,抑郁症超话,0,4.78564E+15,抑郁症:  医生说状况再不好就要二次住院了 ,,0,,23,87,Wed Jun 29 10:23:13 +0800 2022,1656469393
2130291,抑郁症超话,0,4.78564E+15,抑郁症: 我不该把药扔掉的，我还需要它 ,https://wx3.sinaimg.cn/large/008sycsDly1h3owdqprsdj30k018gwjj.jpg,0,,23,4,Wed Jun 29 10:19:34 +0800 2022,1656469174
2130292,抑郁症超话,0,4.78564E+15,抑郁症: 焦虑，烦躁，厌世，天天重复， ,,0,,64,14,Wed Jun 29 10:17:39 +0800 2022,1656469059
